,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15
51,-1.0556182,-2.650064,0.5840002,0.82657576,0.2945454,-0.16156864,-0.15940432,0.68725544,-0.61018175,-0.7708845,-1.1444534,-1.5790474,0.41877645,0.18864428,-0.09298799,-0.70751613
52,-1.2107382,-2.7480485,0.55927634,-0.110433325,0.17831342,-0.33859816,-0.038606245,-0.21963243,-0.68587,-0.19093953,-0.9813045,-1.2349972,0.8983404,0.735627,-0.3321101,-0.55096054
54,-1.5613438,-0.31172565,-0.76852566,0.21663333,-0.016278848,-0.35156304,-0.8362637,-1.1574132,0.22297187,-0.041241758,1.524083,0.7598441,0.9812241,-0.7783435,-0.3187685,-0.7028955
55,-0.9989211,-0.19112891,-0.057382897,0.3758895,0.11139054,0.013852075,-0.44315842,-1.222474,0.37807062,-0.62063783,0.019376937,-0.057551235,1.2071341,-0.86095375,0.2577966,-1.2765037
138,-0.6478598,-0.7635697,0.09650595,-0.09894155,-0.17734338,-0.02987959,-1.5270224,-0.023286518,1.2044938,-0.58057106,0.19345526,-0.70858485,0.79008037,0.30716583,0.23873685,-0.15483859
139,-0.63147914,-0.73590535,0.16819485,-0.13020104,-0.20599759,-0.06012994,-1.5361058,-0.058209106,1.2551872,-0.55967295,0.2567635,-0.76516956,0.8084179,0.23219843,0.2599656,-0.224062
140,-0.7064762,-0.80872077,0.15400635,-0.13707992,-0.252955,-0.028123049,-1.5767796,0.049452424,1.241317,-0.60685825,0.1904109,-0.69000244,0.84559655,0.22846854,0.28920266,-0.1763434
141,-0.69376713,-0.829046,0.089619815,-0.1375392,-0.287801,-0.0960781,-1.6340833,-0.0112159625,1.1529034,-0.6371444,0.2449129,-0.67468494,0.8141536,0.27790335,0.3006506,-0.16316955
145,-0.42054266,-2.3813295,0.091761984,-0.40850726,-0.77616286,0.2965688,-0.44415867,0.37098983,-0.64365524,-0.21871707,0.22755946,-1.7211584,0.059754256,-0.24196817,-1.0370339,-1.6925274
146,-0.3964483,-2.3865645,0.120725214,-0.46588367,-0.79916024,0.30588216,-0.40455702,0.37543607,-0.62150794,-0.19692177,0.20073126,-1.7757659,0.073353074,-0.23734601,-1.0132855,-1.7496527
147,-0.40901548,-2.4124734,0.1522844,-0.3871596,-0.78146774,0.35302988,-0.48354733,0.35320857,-0.6441874,-0.23618379,0.20870969,-1.7448652,0.05819449,-0.25763458,-1.0673407,-1.6878113
148,-0.49987262,-2.5701776,0.13765678,-0.4294164,-0.8195283,0.29752144,-0.5388722,0.34689423,-0.62396675,-0.26243588,0.20845328,-1.7874272,0.08779536,-0.24336936,-0.96467334,-1.7683176
152,-0.33454785,-0.39606574,-1.0949812,0.2754297,-0.21380584,-0.3253736,-0.21554711,-0.2894422,-0.57018244,-0.48078522,-0.27384204,0.2190344,-0.90362424,-0.84257454,1.1002718,0.31440678
153,-0.3090567,-0.4005524,-1.0562503,0.22812188,-0.23888922,-0.30738148,-0.29697895,-0.28167912,-0.5952382,-0.3826052,-0.32246765,0.20300305,-0.88542604,-0.83179784,1.1408786,0.33789295
154,-0.4035194,-0.4036615,-0.99608064,0.23900731,-0.24819583,-0.3673384,-0.33046266,-0.1836712,-0.68434095,-0.48426396,-0.21859685,0.24228233,-0.9174069,-0.87414706,1.1256615,0.22152516
165,-0.23273303,-0.8030156,-1.0501213,0.6683645,0.18916507,-0.30616882,0.1458713,-0.19600895,-0.5891192,-0.49533337,-0.71393543,0.33440843,-0.34569022,-0.82755846,0.59625113,-0.6817137
166,-0.14026031,-0.80286187,-0.8404134,0.4619134,0.17722821,-0.4936979,0.19053943,-0.3447719,-0.62599134,-0.3491135,-0.45621333,0.50338554,-0.31336448,-0.72219074,0.13552715,-0.7357664
169,-0.89600873,-0.1610275,1.3251382,-0.5915354,0.8889715,-0.8003794,1.716061,-2.4158163,-2.5490956,-0.07397314,1.228875,-0.45420828,2.042275,1.1274734,0.8182103,-0.8592287
170,-0.8522058,-0.24018495,1.413563,-0.72343063,0.8497957,-0.79506534,1.7917649,-2.4296386,-2.5560396,-0.17287554,1.2139641,-0.476623,2.085305,0.99913657,0.8296827,-0.9067575
171,-0.87641466,-0.23263997,1.4001559,-0.7258397,0.88152003,-0.8030499,1.6677846,-2.4302099,-2.5032997,-0.15022674,1.3191735,-0.43237376,2.0667202,1.0597217,0.8531286,-0.9813315
172,-0.85810786,-0.2993161,1.4140841,-0.8321798,0.8741108,-0.7848171,1.714887,-2.4280708,-2.4621418,-0.12902537,1.2603383,-0.44177002,2.0184393,1.0051483,0.8882544,-0.9061412
173,-0.82810897,-0.13462393,1.4365283,-0.61778426,0.90135276,-0.8095808,1.7818077,-2.492524,-2.58954,-0.108170144,1.2979343,-0.4174173,2.020092,1.0523548,0.834575,-0.9022709
174,-0.8590552,-0.29443404,1.3775088,-0.77901614,0.82012665,-0.781253,1.7195646,-2.3793302,-2.4617,-0.21082455,1.2348546,-0.3721256,2.0304592,1.0606983,0.8694992,-0.92431086
183,-0.8567752,-0.15152851,1.4172311,-0.65657425,0.87566495,-0.82064265,1.6444787,-2.444336,-2.5703897,-0.13978842,1.2499157,-0.4920288,2.1365335,1.106181,0.9060842,-0.95607144
184,-0.8454983,-0.18447436,1.4159796,-0.5892049,0.8407443,-0.8925695,1.8273726,-2.4993465,-2.58286,-0.19311987,1.2187922,-0.45713526,2.038571,1.0206337,0.9670223,-0.9526506
187,-0.3869579,0.38079068,-2.0604255,0.6741872,-0.50767845,-0.14006253,0.23024613,1.5737042,-0.87173474,0.7873932,-3.3731089,0.29090482,-1.3142086,3.0142167,3.1318083,-0.71367085
188,-0.39172435,0.3027588,-2.1347337,0.6654908,-0.47753438,-0.27636546,0.31965312,1.6551582,-0.90013605,0.63427293,-3.172865,0.29545283,-1.3433137,3.2590184,2.9387665,-0.7478716
189,-0.38110426,0.37582076,-2.0861716,0.5420197,-0.52640384,-0.06716511,0.27067176,1.5797443,-0.9908173,0.7055763,-3.2486253,0.36196056,-1.2340084,3.0523372,3.1638358,-0.7819431
190,-0.3904951,0.28410542,-2.1406293,0.65646017,-0.4601461,-0.2747186,0.33045852,1.6499158,-0.8845414,0.6087126,-3.1640897,0.33922654,-1.3617277,3.2552073,2.9630575,-0.733498
192,-0.40784907,0.32699585,-2.104732,0.659159,-0.49803305,-0.32003093,0.4442071,1.6025978,-0.9214634,0.63141143,-3.155183,0.26963437,-1.3043251,3.2249575,2.9742997,-0.67079794
193,-0.38770384,0.23629516,-2.158038,0.61419195,-0.5486207,-0.163709,0.38165736,1.682869,-0.9363995,0.6027944,-3.2310977,0.3993921,-1.2912211,3.208845,3.0579712,-0.7204824
198,-0.4029248,0.28372002,-2.1506088,0.67615515,-0.48135868,-0.2625772,0.31763893,1.6793951,-0.8911608,0.6250471,-3.159682,0.3153149,-1.3685706,3.2890253,2.9436855,-0.745766
195,-0.36432466,0.3229003,-2.0870907,0.5612352,-0.47996345,-0.20240897,0.3597521,1.6264963,-0.90584445,0.63390267,-3.0900264,0.38662034,-1.2854601,3.1879792,2.9351223,-0.7269098
205,-0.4867278,2.1173444,-2.7934935,-1.9275124,0.15161256,3.8943262,-0.7318502,-1.0480932,0.6222332,-0.10684783,0.12562001,1.0332527,0.6840008,-0.20076407,-0.69834805,0.02519377
206,-0.39465132,2.189596,-2.828672,-1.9770097,0.06296799,4.006786,-0.6389504,-0.94728667,0.5045596,-0.22880475,0.19555788,0.77569836,0.65701735,-0.252337,-0.98904014,-0.026835801
207,-0.45778358,2.189954,-2.7071462,-2.0049298,0.14132921,3.9210298,-0.5847899,-1.0493387,0.48106104,-0.028892312,0.10777428,1.025446,0.67902243,-0.243001,-0.8065468,-0.10595323
208,-0.3575861,2.1864653,-2.8381617,-2.0094504,0.16819942,3.9481204,-0.6656659,-0.9865542,0.49803114,-0.048148233,0.11218177,0.83392566,0.63975114,-0.2874936,-0.8435674,-0.0888854
209,-0.43110603,2.2752893,-2.7696764,-1.8933145,0.07534595,4.022247,-0.8385392,-0.85069823,0.49603704,-0.12910473,0.092717476,0.9195195,0.7655212,-0.20390162,-0.9288134,0.05315071
210,-0.3959877,2.1341784,-2.8433783,-1.9951848,0.18056117,3.984216,-0.7359436,-0.9768655,0.5529084,-0.07806683,0.1276351,0.856171,0.6004773,-0.26620844,-0.89551646,-0.06389194
216,-0.4144673,2.1715777,-2.8592556,-1.9656811,0.16727693,3.8961232,-0.6574344,-1.0165259,0.5384536,-0.0765423,0.14146745,0.96072954,0.73532456,-0.3265824,-0.79247594,-0.04903632
217,-0.44756883,2.192529,-2.8235543,-1.8930411,0.1791296,4.004815,-0.73624694,-0.8918055,0.5207059,-0.21752366,0.14620885,0.86935407,0.70562696,-0.20450649,-0.9624616,0.035573907
219,-0.45069325,2.0531275,-3.0292923,-1.9289323,0.19430439,3.8393,-0.7398091,-0.9799576,0.5587034,-0.09485125,0.14381231,0.93563765,0.67572105,-0.32039106,-0.673911,0.1095107
220,-0.41566977,2.090548,-2.954959,-1.9578271,0.22312808,3.9239135,-0.80901146,-0.9856962,0.66126084,-0.19378282,0.16023615,0.9050826,0.6100717,-0.3325753,-0.8213422,0.07917028
221,-0.4595179,2.1795135,-2.866492,-2.0048833,0.20345192,3.892242,-0.86241317,-0.9450646,0.6536456,0.06384837,0.035137136,1.0577562,0.7447314,-0.33134335,-0.71797943,0.0967272
222,-0.39649287,2.1159482,-2.9834855,-2.0068784,0.24454336,3.9364328,-0.8163595,-0.9538898,0.615909,-0.16149426,0.14000358,0.91377133,0.69403064,-0.30849597,-0.89379555,0.075545646
234,-0.4344645,2.0655065,-3.1052647,-1.9970648,0.20439768,3.8410249,-0.7468537,-1.0255576,0.5863891,-0.13934588,0.16997725,0.85028225,0.64285237,-0.3230565,-0.72252905,0.096485235
