Name_Ext_Mtd,Con_LOC,CON_LOCAL,CON_LITERAL,CON_INVOCATION,CON_IF,CON_CONDITIONAL,CON_SWITCH,CON_VAR_ACC,CON_TYPE_ACC,CON_FIELD_ACC,CON_ASSERT,CON_ASSIGN,CON_TYPED_ELE,CON_PACKAGE,LOC_Extracted_Method,Num_local,Num_Literal,Num_Invocation,Num_If,Num_Conditional,Num_Switch,Num_Var_Ac,Num_Type_Ac,Num_Field_Ac,Num_Assign,Num_Typed_Ele,Num_Package,ratio_LOC,Ratio_Variable_Access,Ratio_Variable_Access2,VarAc_Cohesion,VarAc_Cohesion2,Ratio_Field_Access,Ratio_Field_Access2,Field_Cohesion,Field_Cohesion2,Ratio_Invocation,Invocation_Cohesion,Ratio_Type_Access,Ratio_Type_Access2,TypeAc_Cohesion,TypeAc_Cohesion2,Ratio_Typed_Ele,TypedEle_Cohesion,Ratio_Package,Ratio_Package2,Package_Cohesion,Package_Cohesion2
createCellSignalTable,18,7,1,11,0,0,0,43,26,25,0,0,276,345,3,1,1,1,0,0,0,4,2,2,0,30,37,0.14285714285714285,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.10526315789473684,0.0,1.0,0.0,1.0,0.0,0.11020408163265306,0.0,1.0,0.0
createOpenCellIDTable,18,8,1,10,0,0,0,44,27,27,0,0,299,366,3,0,0,2,0,0,0,3,1,0,0,7,16,0.14285714285714285,1.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.05263157894736842,0.0,0.5,0.0,1.0,0.0,0.07042253521126761,0.0,1.0,0.0
createDefaultMCCTable,17,7,1,10,0,0,0,41,26,25,0,0,267,331,4,1,1,2,0,0,0,6,2,2,0,39,51,0.19047619047619047,1.0,0.16666666666666666,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.5,0.10526315789473684,0.0,0.5,0.0,1.0,0.5,0.1469387755102041,0.09859154929577464,1.0,1.0
createLocationTable,4,1,1,3,0,0,0,14,11,10,0,0,67,79,17,7,1,9,0,0,0,33,17,17,0,247,303,0.8095238095238095,1.0,0.75,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,1.0,0.7894736842105263,0.0,0.5,1.0,0.5,1.0,0.8693877551020408,0.0,1.0
createSilentSmsTable,13,5,1,8,0,0,0,33,22,21,0,0,203,251,8,3,1,4,0,0,0,14,6,6,0,105,131,0.38095238095238093,1.0,0.3333333333333333,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.3157894736842105,0.0,0.5,0.0,1.0,0.0,0.39183673469387753,0.2676056338028169,1.0,1.0
createCellTable,8,2,1,6,0,0,0,22,15,14,0,0,118,150,13,6,1,6,0,0,0,25,13,13,0,193,232,0.6190476190476191,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5789473684210527,0.0,0.5,1.0,0.5,1.0,0.6857142857142857,0.0,1.0
createEventLogTable,5,1,1,4,0,0,0,16,12,11,0,0,75,93,16,7,1,8,0,0,0,31,16,16,0,238,289,0.7619047619047619,1.0,0.6666666666666666,0.0,0.5,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.7368421052631579,0.0,0.5,1.0,0.0,1.0,0.8448979591836735,0.0,1.0
convertPemKeyPair,7,2,1,1,1,0,0,2,2,1,0,0,11,20,15,3,1,8,3,0,0,15,5,1,0,45,83,0.6818181818181818,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
resolveFormEncoding,54,12,1,46,7,0,0,54,26,7,0,2,174,248,2,0,0,2,0,0,0,2,2,0,1,7,11,0.03571428571428571,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.13333333333333333,0.0,0.0
getProbe,24,9,1,14,4,1,0,22,4,0,0,1,65,79,3,1,0,2,0,0,0,3,1,0,0,7,13,0.1111111111111111,1.0,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,1.0,0.0,0.08333333333333333,0.0,1.0,0.08333333333333333,1.0,0.0,0.08333333333333333,0.0
failedSubscribe,8,0,0,1,2,0,0,5,2,2,0,1,14,23,2,0,0,1,0,0,0,2,2,2,0,7,8,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.4,0.0,1.0,0.0
setMaxHeight,2,0,0,0,0,0,0,3,2,2,0,1,7,14,5,0,1,12,0,0,0,4,8,4,0,32,29,0.7142857142857143,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.0,1.0,1.0,1.0,0.7142857142857143,0.0,1.0,1.0,1.0,1.0,0.6388888888888888,0.0,1.0
addCoursesFromStepic,17,5,1,10,2,0,0,14,6,4,0,0,45,82,2,0,0,1,0,0,0,0,1,0,0,2,4,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
canBinaryExpressionBeUnboxed,56,17,0,20,13,0,0,49,17,0,0,1,145,161,2,1,0,1,0,0,0,1,0,0,0,3,5,0.034482758620689655,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
buildFQuery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,7,2,0,0,16,7,7,0,41,89,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.2,0.0,1.0,0.2,1.0,0.0,0.4,0.0,1.0,0.4,1.0,0.0,0.4,0.0
removeNodes,3,1,0,1,1,0,0,2,1,0,0,0,6,10,13,2,1,6,3,0,0,13,10,7,1,45,66,0.8125,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.0
addAdditionalLoggingHandler,6,1,0,2,0,0,0,6,5,4,0,0,15,28,2,0,0,1,0,0,0,3,1,1,0,6,18,0.25,1.0,0.5,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333
canonicalizePath,41,5,1,33,10,0,0,54,20,8,0,6,161,296,2,1,0,1,0,0,0,1,1,0,0,4,7,0.046511627906976744,0.08333333333333333,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2222222222222222,0.0,0.0
readSynchResult,117,20,1,49,13,1,2,82,27,5,0,10,252,311,2,0,0,2,0,0,0,2,0,0,0,4,6,0.01680672268907563,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.11538461538461539,0.0,0.4,0.0
internalAddEntry,23,2,0,7,4,0,0,15,8,7,0,2,42,62,1,0,0,1,0,0,0,0,0,0,0,1,2,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0
getClient,14,5,0,12,0,0,0,21,5,4,0,1,47,98,2,0,0,1,0,0,0,2,0,0,0,3,6,0.125,0.3333333333333333,0.25,0.2,0.3,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.5,0.1,0.12,0.0,0.4,0.0
runPausedMode,5,2,1,9,0,0,0,7,11,5,0,0,31,43,3,0,1,4,0,0,0,2,2,0,0,9,10,0.375,0.6666666666666666,0.0,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.125,1.0,0.5,0.125,0.25,1.0,0.125,0.5,0.0,0.25,0.0
