Name_Ext_Mtd,Con_LOC,CON_LOCAL,CON_LITERAL,CON_INVOCATION,CON_IF,CON_CONDITIONAL,CON_SWITCH,CON_VAR_ACC,CON_TYPE_ACC,CON_FIELD_ACC,CON_ASSERT,CON_ASSIGN,CON_TYPED_ELE,CON_PACKAGE,LOC_Extracted_Method,Num_local,Num_Literal,Num_Invocation,Num_If,Num_Conditional,Num_Switch,Num_Var_Ac,Num_Type_Ac,Num_Field_Ac,Num_Assign,Num_Typed_Ele,Num_Package,ratio_LOC,Ratio_Variable_Access,Ratio_Variable_Access2,VarAc_Cohesion,VarAc_Cohesion2,Ratio_Field_Access,Ratio_Field_Access2,Field_Cohesion,Field_Cohesion2,Ratio_Invocation,Invocation_Cohesion,Ratio_Type_Access,Ratio_Type_Access2,TypeAc_Cohesion,TypeAc_Cohesion2,Ratio_Typed_Ele,TypedEle_Cohesion,Ratio_Package,Ratio_Package2,Package_Cohesion,Package_Cohesion2
createCellSignalTable,7,0,0,8,0,0,0,8,8,0,0,0,24,64,4,0,1,3,0,0,0,7,4,4,0,36,52,0.19047619047619047,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.21052631578947367,0.0,1.0,0.0,1.0,1.0,0.19718309859154928,0.0,1.0,0.0
createOpenCellIDTable,7,0,0,8,0,0,0,8,8,0,0,0,24,64,3,1,1,1,0,0,0,4,2,2,0,42,49,0.14285714285714285,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.5,0.10526315789473684,0.0,0.5,0.0,1.0,0.5,0.15918367346938775,0.0,1.0,0.0
createDefaultMCCTable,7,0,0,8,0,0,0,8,8,0,0,0,24,64,3,1,1,1,0,0,0,4,2,2,0,24,31,0.14285714285714285,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.5,0.10526315789473684,0.0,0.5,0.0,1.0,0.5,0.08571428571428572,0.0,1.0,0.0
createLocationTable,7,0,0,8,0,0,0,8,8,0,0,0,24,64,3,1,1,1,0,0,0,4,2,2,0,30,37,0.14285714285714285,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.5,0.10526315789473684,0.0,0.5,0.0,1.0,0.5,0.11020408163265306,0.0,1.0,0.0
createSilentSmsTable,7,0,0,8,0,0,0,8,8,0,0,0,24,64,5,2,1,2,0,0,0,9,5,5,0,51,62,0.23809523809523808,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.25,1.0,0.15789473684210525,0.25,0.5,1.0,0.5,1.0,0.16901408450704225,0.25,1.0
createCellTable,7,0,0,8,0,0,0,8,8,0,0,0,24,64,3,1,1,1,0,0,0,4,2,2,0,46,53,0.14285714285714285,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.5,0.10526315789473684,0.0,0.5,0.0,1.0,0.5,0.17551020408163265,0.0,1.0,0.0
createEventLogTable,7,0,0,8,0,0,0,8,8,0,0,0,24,64,5,2,1,2,0,0,0,14,10,10,0,84,90,0.23809523809523808,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.25,1.0,0.15789473684210525,0.25,0.5,1.0,0.25,1.0,0.23943661971830985,0.25,1.0
getProbe,0,0,1,1,0,0,0,0,1,0,0,0,3,6,27,10,1,16,4,1,0,30,5,0,1,82,136,1.0,1.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,1.0,0.0,0.08333333333333333,0.0,1.0,0.4166666666666667,1.434782608695652,1.0,0.75,0.5
failedSubscribe,8,0,0,2,2,0,0,7,5,4,0,1,21,34,2,0,0,1,0,0,0,1,0,0,0,2,5,0.2,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06666666666666667,0.0,1.0,0.0
setMaxHeight,5,0,0,10,0,0,0,6,10,5,0,1,28,36,2,0,1,3,0,0,0,2,1,1,0,10,11,0.2857142857142857,0.16666666666666666,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.3333333333333333,1.0,0.14285714285714285,0.0,1.0,0.0,1.0,1.0,0.8333333333333334,0.16666666666666666,1.0,1.0
addCoursesFromStepic,12,3,1,5,0,0,0,10,4,1,0,2,30,39,15,6,1,11,2,1,0,20,7,6,0,59,103,0.7894736842105263,1.0,1.0,0.2,0.2,1.0,0.0,0.2,0.0,1.0,0.2,1.0,1.0,0.2,0.2,2.0,0.4,1.3793103448275863,0.0,0.8,0.0
canBinaryExpressionBeUnboxed,42,14,0,17,10,1,0,42,17,0,0,1,121,147,14,3,1,5,3,0,0,10,3,0,0,35,46,0.2413793103448276,2.0,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.5,0.0,0.2857142857142857,0.0,2.0,0.2857142857142857,0.0,0.0,0.0,0.0
getHTMLEditorKit,0,0,0,1,0,0,0,0,1,0,0,0,3,3,18,5,1,10,1,3,0,14,6,2,1,56,71,1.2,2.0,1.0,0.2222222222222222,0.2222222222222222,1.0,0.0,0.1111111111111111,0.0,1.0,0.1111111111111111,1.0,0.0,0.2222222222222222,0.0,2.0,0.2222222222222222,1.2105263157894737,1.0,0.6666666666666666,0.5555555555555556
buildFQuery,5,0,0,3,1,0,0,8,4,3,0,0,17,46,8,0,1,5,1,0,0,9,4,3,0,25,54,0.6153846153846154,1.0,0.7142857142857143,0.2,1.0,1.0,0.5,0.2,0.2,1.0,0.2,0.42857142857142855,0.0,0.4,0.0,1.0,0.2,0.5833333333333334,0.0,0.4,0.0
